AYUWUM_clean 3 2 2
AZAFIS_clean 4 3 3
AZAVOO_clean 3 1 2
AZAVUU_clean 3 2 1
AZAWAZ_clean 5 3 2
AZEBUE_clean 2 3 2
AZEWEH_clean 5 3 3
AZILEA_clean 3 3 2
AZILEC_clean 2 2 2
AZIMIH_clean 2 2 2
AZIVAI_clean 2 2 2
AZIXUD_clean 3 2 2
AZOBUN_clean 3 3 2
BACGAQ_clean 3 2 2
BACMOH10_clean 4 3 2
BACMOH_clean 2 3 4
BADHIA_clean 3 2 1
BADHOG_clean 3 2 1
BADHUM01_clean 4 1 3
BADHUM_clean 3 2 1
BADJAU_clean 3 1 1
BAEDTA01_clean 3 2 2
BAFCAP_clean 3 2 2
BAFHAU_clean 2 2 2
BAFKUR_clean 3 3 3
BAHGUN01_clean 6 3 3
BAHGUN02_clean 6 3 3
BAHGUN03_clean 6 3 3
BAHGUN04_clean 6 3 3
BAHGUN_clean 6 3 3
BAKFAV_clean 4 4 2
BAKGAX_clean 4 2 2
BAKGIF_manual 4 3 2
BAKJEE_clean 3 2 1
BAKJII_clean 3 2 3
BAKJOO_clean 3 2 2
BAKLIK_clean 3 2 2
BAKYOE_clean 3 2 2
BALMUW01_clean 5 4 4
BALMUW_clean 5 4 4
BALPAH_clean 2 2 1
BAMKIM_clean 3 2 2
BAMKOS_clean 3 2 2
BANMAG_clean 2 2 2
BAPDAA_clean 2 2 4
BAQWEY_clean 2 2 2
BAQWIC_clean 3 3 2
BARZAW_clean 2 2 2
BARZIE_clean 2 2 2
BARZOK_clean 2 2 2
BARZOL_charged 2 2 1
BARZUR_clean 3 2 2
BASJUB_clean 2 2 1
BASSOF_clean 4 2 2
BASSUL_clean 4 2 2
BASTAS_clean 3 2 2
BASTEW_clean 3 2 2
BASTUM_clean 4 2 2
BAWROI_clean 1 1 1
BAWRUO_clean 2 2 2
BAXFIR01_clean 4 2 3
BAXFIR02_clean 4 2 3
BAXFUD_clean 4 2 3
BAXGAK_clean 4 2 3
BAXLOD_clean 3 3 5
BAXSIE_clean 4 2 2
BAZDAJ_clean 2 2 2
BAZFUF01_clean 1 1 1
BAZFUF_clean 1 1 1
BAZGAM_clean 1 1 1
BAZGEQ_clean 1 1 1
BAZJET_clean 2 2 2
BAZJIX_clean 2 2 2
BEFGEA_manual 2 2 2
BEFKUU_clean 3 3 2
BEFLAB01_clean 2 2 3
BEFLEF_clean 2 2 3
BEFLIJ_clean 3 2 2
BEFLUV_clean 2 2 3
BEFMAC_clean 3 2 2
BEFMOQ_clean 2 2 2
BEFMUW_clean 2 2 2
BEFNAD_clean 2 2 2
BEFNEH_clean 2 2 2
BEFNIL_clean 3 3 3
BEFNUX_clean 3 2 2
BEFPAF_clean 2 3 2
BEGBOG_clean 3 3 3
BEJZAS_clean 3 3 3
BEKSAM_clean 2 3 3
BEKYOG_clean 3 3 3
BEKYUM_clean 2 2 3
BELJIL_clean 3 2 2
BELTOD_clean 2 2 2
BELTUJ_clean 2 2 2
BELVEV_charged 3 3 2
BELYIC_clean 4 4 2
BENXUP_clean 4 3 2
BENZOL_clean 3 3 3
BENZUR_clean 3 3 3
BEPBAB_clean 3 3 3
BEPLUF_clean 3 2 2
BEPMAM_clean 3 2 2
BEPMIU_clean 3 2 2
BEPNER_clean 2 5 2
BEPNIV_clean 3 2 2
BEPNOB_clean 3 2 2
BEPNUH_clean 3 2 2
BEPPAP_clean 3 2 2
BEPPIX_clean 3 2 2
BEPPOD_clean 3 2 2
BEPREV01_clean 2 2 2
BEPREV02_clean 2 2 2
BEPREV03_clean 2 2 2
BEPREV_clean 2 2 2
BEPRIZ_clean 2 2 2
BEPROF_clean 2 2 2
BEPVAV_clean 3 3 3
BEPVEZ_clean 3 3 3
BEPVID_clean 3 3 3
BEPVOJ01_clean 3 3 3
BEPVOJ_clean 3 3 3
BEPWEA_clean 3 3 2
BERFIP_clean 4 4 2
BERGAI_clean 3 3 2
BETDAH_clean 2 3 2
BETDEL_clean 2 3 2
BETFAJ_clean 2 3 2
BETFEN_clean 2 3 2
BETFUD_clean 2 2 2
BETGAK_clean 2 2 2
BETGEO_clean 2 2 2
BETGIS_clean 2 2 2
BETGOY_clean 2 2 2
BETGUE_clean 2 2 2
BETHEP_clean 2 2 2
BETHIT_clean 2 2 2
BETZOR_clean 2 2 2
BEVQUP_clean 4 4 4
BEWVOQ_clean 2 3 2
BEWWEH_clean 2 2 2
BEXPAX_clean 4 2 2
BEXQIF_clean 2 2 2
BEXQOL_clean 2 2 2
BEXQUR_clean 2 2 2
BEXRAY_clean 2 2 2
BEXREC_clean 2 2 2
BEXRIG_clean 2 2 2
BEXRUT_clean 3 3 2
BEXSAA_clean 3 3 2
BEXSEE_clean 3 2 3
BEXSII_clean 3 2 2
BEXVEH_clean 2 2 1
BEYKEX_clean 3 2 2
BEYSEF_clean 3 2 2
BEZDUH_clean 4 4 2
BIBBUL_clean 3 2 2
